片名:天堂电影院,导演:朱塞佩·托纳多雷 Giuseppe Tornatore,发行年份:1988,豆瓣评分：10.0,评价人数：588516
片名:闻香识女人,导演:马丁·布莱斯 Martin Brest,发行年份:1992,豆瓣评分：10.0,评价人数：737482
片名:猫鼠游戏,导演:史蒂文·斯皮尔伯格 Steven Spielberg,发行年份:2002,豆瓣评分：10.0,评价人数：787748
片名:指环王2：双塔奇兵,导演:彼得·杰克逊 Peter Jackson,发行年份:2002,豆瓣评分：10.0,评价人数：636565
片名:罗马假日,导演:威廉·惠勒 William Wyler,发行年份:1953,豆瓣评分：10.0,评价人数：829178
片名:辩护人,导演:杨宇硕 Woo-seok Yang,发行年份:2013,豆瓣评分：10.0,评价人数：514487
片名:钢琴家,导演:罗曼·波兰斯基 Roman Polanski,发行年份:2002,豆瓣评分：10.0,评价人数：486810
片名:指环王1：护戒使者,导演:彼得·杰克逊 Peter Jackson,发行年份:2001,豆瓣评分：10.0,评价人数：722564
片名:让子弹飞,导演:姜文 Wen Jiang,发行年份:2010,豆瓣评分：10.0,评价人数：1410137
片名:大闹天宫,导演:万籁鸣 Laiming Wan,发行年份:1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆),豆瓣评分：10.0,评价人数：357418
片名:教父2,导演:弗朗西斯·福特·科波拉 Francis Ford Coppola,发行年份:1974,豆瓣评分：10.0,评价人数：453546
片名:狮子王,导演:Roger Allers / 罗伯·明可夫 Rob Minkoff,发行年份:1994,豆瓣评分：10.0,评价人数：707650
片名:死亡诗社,导演:彼得·威尔 Peter Weir,发行年份:1989,豆瓣评分：10.0,评价人数：595900
片名:黑客帝国,导演:安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,发行年份:1999,豆瓣评分：10.0,评价人数：696028
片名:搏击俱乐部,导演:大卫·芬奇 David Fincher,发行年份:1999,豆瓣评分：10.0,评价人数：725458
片名:海蒂和爷爷,导演:阿兰·葛斯彭纳 Alain Gsponer,发行年份:2015,豆瓣评分：10.0,评价人数：416058
片名:绿皮书,导演:彼得·法雷里 Peter Farrelly,发行年份:2018,豆瓣评分：10.0,评价人数：1343471
片名:饮食男女,导演:李安 Ang Lee,发行年份:1994,豆瓣评分：10.0,评价人数：509790
片名:美丽心灵,导演:朗·霍华德 Ron Howard,发行年份:2001,豆瓣评分：10.0,评价人数：650233
片名:窃听风暴,导演:弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,发行年份:2006,豆瓣评分：10.0,评价人数：479294
片名:本杰明·巴顿奇事,导演:大卫·芬奇 David Fincher,发行年份:2008,豆瓣评分：10.0,评价人数：841663
片名:两杆大烟枪,导演:Guy Ritchie,发行年份:1998,豆瓣评分：10.0,评价人数：516250
片名:情书,导演:岩井俊二 Shunji Iwai,发行年份:1995,豆瓣评分：10.0,评价人数：877317
片名:穿条纹睡衣的男孩,导演:马克·赫尔曼 Mark Herman,发行年份:2008,豆瓣评分：10.0,评价人数：450883
片名:西西里的美丽传说,导演:朱塞佩·托纳多雷 Giuseppe Tornatore,发行年份:2000,豆瓣评分：10.0,评价人数：833577
片名:看不见的客人,导演:奥里奥尔·保罗 Oriol Paulo,发行年份:2016,豆瓣评分：10.0,评价人数：1047435
片名:飞越疯人院,导演:米洛斯·福尔曼 Miloš Forman,发行年份:1975,豆瓣评分：10.0,评价人数：485506
片名:拯救大兵瑞恩,导演:史蒂文·斯皮尔伯格 Steven Spielberg,发行年份:1998,豆瓣评分：10.0,评价人数：551705
片名:音乐之声,导演:罗伯特·怀斯 Robert Wise,发行年份:1965,豆瓣评分：10.0,评价人数：511719
片名:小鞋子,导演:马基德·马基迪 Majid Majidi,发行年份:1997,豆瓣评分：10.0,评价人数：347450
片名:阿凡达,导演:詹姆斯·卡梅隆 James Cameron,发行年份:2009,豆瓣评分：10.0,评价人数：1198829
片名:海豚湾,导演:路易·西霍尤斯 Louie Psihoyos,发行年份:2009,豆瓣评分：10.0,评价人数：320799
片名:致命魔术,导演:克里斯托弗·诺兰 Christopher Nolan,发行年份:2006,豆瓣评分：10.0,评价人数：733747
片名:沉默的羔羊,导演:乔纳森·戴米 Jonathan Demme,发行年份:1991,豆瓣评分：10.0,评价人数：738241
片名:美国往事,导演:赛尔乔·莱翁内 Sergio Leone,发行年份:1984,豆瓣评分：10.0,评价人数：352422
片名:禁闭岛,导演:Martin Scorsese,发行年份:2010,豆瓣评分：10.0,评价人数：813896
片名:哈利·波特与死亡圣器(下),导演:大卫·叶茨 David Yates,发行年份:2011,豆瓣评分：10.0,评价人数：677472
片名:蝴蝶效应,导演:埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,发行年份:2004,豆瓣评分：10.0,评价人数：796714
片名:布达佩斯大饭店,导演:韦斯·安德森 Wes Anderson,发行年份:2014,豆瓣评分：10.0,评价人数：763195
片名:心灵捕手,导演:格斯·范·桑特 Gus Van Sant,发行年份:1997,豆瓣评分：10.0,评价人数：601798
片名:低俗小说,导演:昆汀·塔伦蒂诺 Quentin Tarantino,发行年份:1994,豆瓣评分：10.0,评价人数：708161
片名:春光乍泄,导演:王家卫 Kar Wai Wong,发行年份:1997,豆瓣评分：10.0,评价人数：534135
片名:七宗罪,导演:大卫·芬奇 David Fincher,发行年份:1995,豆瓣评分：10.0,评价人数：821169
片名:摩登时代,导演:查理·卓别林 Charles Chaplin,发行年份:1936,豆瓣评分：10.0,评价人数：249068
片名:喜剧之王,导演:周星驰 Stephen Chow / 李力持 Lik-Chi Lee,发行年份:1999,豆瓣评分：10.0,评价人数：820109
片名:致命ID,导演:詹姆斯·曼高德 James Mangold,发行年份:2003,豆瓣评分：10.0,评价人数：686398
片名:被嫌弃的松子的一生,导演:中岛哲也 Tetsuya Nakashima,发行年份:2006,豆瓣评分：10.0,评价人数：620076
片名:杀人回忆,导演:奉俊昊 Joon-ho Bong,发行年份:2003,豆瓣评分：10.0,评价人数：582624
片名:加勒比海盗,导演:戈尔·维宾斯基 Gore Verbinski,发行年份:2003,豆瓣评分：10.0,评价人数：740476
片名:剪刀手爱德华,导演:蒂姆·波顿 Tim Burton,发行年份:1990,豆瓣评分：10.0,评价人数：923981
片名:狩猎,导演:托马斯·温特伯格 Thomas Vinterberg,发行年份:2012,豆瓣评分：10.0,评价人数：321424
片名:红辣椒,导演:今敏 Satoshi Kon,发行年份:2006,豆瓣评分：10.0,评价人数：367521
片名:勇敢的心,导演:梅尔·吉布森 Mel Gibson,发行年份:1995,豆瓣评分：10.0,评价人数：503715
片名:请以你的名字呼唤我,导演:卢卡·瓜达尼诺 Luca Guadagnino,发行年份:2017,豆瓣评分：10.0,评价人数：588136
片名:7号房的礼物,导演:李焕庆 Hwan-kyeong Lee,发行年份:2013,豆瓣评分：10.0,评价人数：466509
片名:断背山,导演:李安 Ang Lee,发行年份:2005,豆瓣评分：10.0,评价人数：618611
片名:功夫,导演:周星驰 Stephen Chow,发行年份:2004,豆瓣评分：10.0,评价人数：890706
片名:天使爱美丽,导演:让-皮埃尔·热内 Jean-Pierre Jeunet,发行年份:2001,豆瓣评分：10.0,评价人数：868972
片名:超脱,导演:托尼·凯耶 Tony Kaye,发行年份:2011,豆瓣评分：10.0,评价人数：438744
